file_path,label
data/bed/1306.png,bed
data/bed/1340.png,bed
data/bed/1283.png,bed
data/bed/1338.png,bed
data/bed/1334.png,bed
data/bed/1285.png,bed
data/bed/1343.png,bed
data/bed/1325.png,bed
data/bed/1321.png,bed
data/bed/1296.png,bed
data/bed/1289.png,bed
data/bed/1313.png,bed
data/bed/1284.png,bed
data/bed/1303.png,bed
data/bed/1320.png,bed
data/bed/1329.png,bed
data/bed/1358.png,bed
data/bed/1304.png,bed
data/bed/1353.png,bed
data/bed/1322.png,bed
data/bed/1318.png,bed
data/bed/1282.png,bed
data/bed/1328.png,bed
data/bed/1351.png,bed
data/bed/1291.png,bed
data/bed/1312.png,bed
data/bed/1339.png,bed
data/bed/1356.png,bed
data/bed/1349.png,bed
data/bed/1354.png,bed
data/bed/1298.png,bed
data/bed/1332.png,bed
data/bed/1308.png,bed
data/bed/1301.png,bed
data/bed/1347.png,bed
data/bed/1299.png,bed
data/bed/1324.png,bed
data/bed/1292.png,bed
data/bed/1335.png,bed
data/bed/1326.png,bed
data/bed/1300.png,bed
data/bed/1281.png,bed
data/bed/1297.png,bed
data/bed/1359.png,bed
data/bed/1346.png,bed
data/bed/1337.png,bed
data/bed/1333.png,bed
data/bed/1342.png,bed
data/bed/1345.png,bed
data/bed/1293.png,bed
data/bed/1294.png,bed
data/bed/1315.png,bed
data/bed/1295.png,bed
data/bed/1327.png,bed
data/bed/1357.png,bed
data/bed/1319.png,bed
data/bed/1323.png,bed
data/bed/1307.png,bed
data/bed/1336.png,bed
data/bed/1317.png,bed
data/bed/1348.png,bed
data/bed/1360.png,bed
data/bed/1310.png,bed
data/bed/1355.png,bed
data/bed/1316.png,bed
data/bed/1287.png,bed
data/bed/1286.png,bed
data/bed/1302.png,bed
data/bed/1290.png,bed
data/bed/1314.png,bed
data/bed/1341.png,bed
data/bed/1352.png,bed
data/bed/1311.png,bed
data/bed/1288.png,bed
data/bed/1305.png,bed
data/bed/1350.png,bed
data/bed/1330.png,bed
data/bed/1344.png,bed
data/bed/1309.png,bed
data/bed/1331.png,bed
data/violin/19352.png,violin
data/violin/19360.png,violin
data/violin/19308.png,violin
data/violin/19310.png,violin
data/violin/19332.png,violin
data/violin/19337.png,violin
data/violin/19345.png,violin
data/violin/19300.png,violin
data/violin/19317.png,violin
data/violin/19291.png,violin
data/violin/19318.png,violin
data/violin/19335.png,violin
data/violin/19304.png,violin
data/violin/19320.png,violin
data/violin/19346.png,violin
data/violin/19341.png,violin
data/violin/19327.png,violin
data/violin/19314.png,violin
data/violin/19305.png,violin
data/violin/19289.png,violin
data/violin/19298.png,violin
data/violin/19321.png,violin
data/violin/19339.png,violin
data/violin/19354.png,violin
data/violin/19284.png,violin
data/violin/19340.png,violin
data/violin/19286.png,violin
data/violin/19347.png,violin
data/violin/19356.png,violin
data/violin/19316.png,violin
data/violin/19303.png,violin
data/violin/19353.png,violin
data/violin/19313.png,violin
data/violin/19329.png,violin
data/violin/19349.png,violin
data/violin/19343.png,violin
data/violin/19315.png,violin
data/violin/19326.png,violin
data/violin/19285.png,violin
data/violin/19282.png,violin
data/violin/19348.png,violin
data/violin/19299.png,violin
data/violin/19288.png,violin
data/violin/19312.png,violin
data/violin/19324.png,violin
data/violin/19359.png,violin
data/violin/19323.png,violin
data/violin/19311.png,violin
data/violin/19338.png,violin
data/violin/19355.png,violin
data/violin/19351.png,violin
data/violin/19328.png,violin
data/violin/19344.png,violin
data/violin/19331.png,violin
data/violin/19333.png,violin
data/violin/19306.png,violin
data/violin/19350.png,violin
data/violin/19309.png,violin
data/violin/19322.png,violin
data/violin/19336.png,violin
data/violin/19358.png,violin
data/violin/19357.png,violin
data/violin/19307.png,violin
data/violin/19294.png,violin
data/violin/19342.png,violin
data/violin/19295.png,violin
data/violin/19301.png,violin
data/violin/19281.png,violin
data/violin/19296.png,violin
data/violin/19293.png,violin
data/violin/19292.png,violin
data/violin/19283.png,violin
data/violin/19325.png,violin
data/violin/19290.png,violin
data/violin/19334.png,violin
data/violin/19330.png,violin
data/violin/19302.png,violin
data/violin/19319.png,violin
data/violin/19297.png,violin
data/violin/19287.png,violin
data/pen/11938.png,pen
